normalization,word_ngram,char_ngram,char_weight,location_boost,cold,warm,benchmark_mix_63_cold_37_warm,bootstrap_cold_mean,bootstrap_cold_std,bootstrap_cold_min,bootstrap_cold_max,bootstrap_warm_mean,bootstrap_warm_std,bootstrap_warm_min,bootstrap_warm_max,bootstrap_mix_mean,bootstrap_mix_std,bootstrap_mix_min,bootstrap_mix_max
plain,unigram,2_to_3,0.1,0.3,0.5222,0.5382256410256411,0.5281294871794872,0.5253266666666666,0.008279989264619987,0.5150666666666666,0.5366,0.5355548717948718,0.006891734073437039,0.5251179487179487,0.5483179487179488,0.5291111025641025,0.005651385572937222,0.5210288205128205,0.5353496410256411
plain,unigram,2_to_3,0.1,0.4,0.53508,0.5542056410256411,0.5421564871794873,0.5398106666666667,0.008602296678686883,0.5261466666666668,0.55046,0.5516128717948718,0.006697969060552897,0.5435389743589745,0.5624779487179489,0.5441774825641026,0.006666740045066019,0.534854,0.5521209743589744
plain,unigram,2_to_3,0.1,0.5,0.5381600000000001,0.5592856410256412,0.5459764871794872,0.5433346666666666,0.008592219736482512,0.5290266666666666,0.5526933333333333,0.5567808717948719,0.007675051722160103,0.5476189743589743,0.5698379487179488,0.5483097625641026,0.007030345847833124,0.538104,0.5565849743589744
plain,unigram,2_to_3,0.1,0.56,0.53776,0.5588856410256411,0.5455764871794873,0.5430146666666666,0.00873919667466741,0.5286266666666667,0.5526933333333333,0.5563808717948718,0.007720613073537714,0.5476189743589743,0.5694379487179488,0.5479601625641026,0.00712453843188721,0.537556,0.5564369743589743
plain,unigram,2_to_3,0.1,0.6,0.5381600000000001,0.5592856410256412,0.5459764871794872,0.5433346666666666,0.008576895061086427,0.5294266666666666,0.5526933333333333,0.5567008717948718,0.007881619760489886,0.5476189743589743,0.5706379487179488,0.5482801625641025,0.0070956633699366745,0.538356,0.5564369743589743
plain,unigram,2_to_3,0.1,0.7,0.53856,0.5596856410256411,0.5463764871794872,0.5436546666666666,0.008430462576825701,0.5298266666666667,0.5526933333333333,0.5571008717948718,0.007834725725891174,0.5476189743589743,0.5710379487179488,0.5486297625641026,0.006999150661088241,0.538904,0.5565849743589744
plain,unigram,2_to_3,0.1,0.8,0.53856,0.5596856410256411,0.5463764871794872,0.5436546666666666,0.008430462576825701,0.5298266666666667,0.5526933333333333,0.5571008717948718,0.007834725725891174,0.5476189743589743,0.5710379487179488,0.5486297625641026,0.006999150661088241,0.538904,0.5565849743589744
plain,unigram,2_to_3,0.1,0.9,0.53856,0.5596856410256411,0.5463764871794872,0.5436546666666666,0.008430462576825701,0.5298266666666667,0.5526933333333333,0.5571008717948718,0.007834725725891174,0.5476189743589743,0.5710379487179488,0.5486297625641026,0.006999150661088241,0.538904,0.5565849743589744
plain,unigram,2_to_3,0.1,1.0,0.53856,0.5596856410256411,0.5463764871794872,0.5436546666666666,0.008430462576825701,0.5298266666666667,0.5526933333333333,0.5571008717948718,0.007834725725891174,0.5476189743589743,0.5710379487179488,0.5486297625641026,0.006999150661088241,0.538904,0.5565849743589744
plain,unigram,2_to_3,0.2,0.0,0.24957999999999997,0.2599774358974359,0.25342705128205123,0.2496353333333333,0.006687617487141498,0.23721333333333333,0.25811333333333325,0.25958984615384617,0.005343906032603389,0.2516974358974359,0.2674266666666667,0.25331850307692305,0.003218071561334619,0.2483922666666667,0.2585551025641025
plain,unigram,2_to_3,0.2,0.1,0.38855999999999996,0.4067574358974359,0.3952930512820513,0.39043733333333336,0.005544266040327231,0.3822266666666667,0.39626000000000006,0.40682251282051285,0.006960394094395979,0.39716,0.41806000000000004,0.39649984974358976,0.0036693469951852476,0.3896698512820512,0.40180716923076926
plain,unigram,2_to_3,0.2,0.2,0.48650666666666675,0.5012656410256411,0.4919674871794873,0.4890626666666667,0.007428937215251461,0.47797333333333336,0.5030066666666667,0.4992228717948718,0.007599213858322401,0.48735128205128214,0.5101312820512821,0.4928219425641026,0.005899744012756964,0.4825806871794872,0.5011109743589743
plain,unigram,2_to_3,0.2,0.3,0.52,0.5398256410256411,0.5273354871794872,0.5230666666666666,0.008550633504795626,0.5114666666666667,0.535,0.5374548717948718,0.0067608129046413485,0.5277179487179487,0.5501179487179488,0.5283903025641026,0.005513328571550677,0.5214604615384616,0.5355949743589743
plain,unigram,2_to_3,0.2,0.4,0.5314800000000001,0.553805641025641,0.5397404871794872,0.5369306666666667,0.008523548904413319,0.5225466666666667,0.54726,0.5517128717948718,0.0073870031255678665,0.5407389743589744,0.5640779487179488,0.5424000825641025,0.006711981894918791,0.532512,0.5509489743589744
plain,unigram,2_to_3,0.2,0.5,0.53376,0.5560856410256412,0.5420204871794873,0.5392946666666666,0.008508574498704206,0.5242266666666666,0.5490933333333332,0.5537008717948718,0.007284500864229977,0.5428189743589743,0.5662379487179487,0.5446249625641025,0.006669556375605544,0.53434,0.5531329743589742
plain,unigram,2_to_3,0.2,0.56,0.5341600000000001,0.5564856410256411,0.5424204871794873,0.5396146666666667,0.008338376429586344,0.5250266666666666,0.5490933333333332,0.5540208717948718,0.007461130015156965,0.5428189743589743,0.5674379487179488,0.5449449625641025,0.006621703820305506,0.53514,0.5531329743589742
plain,unigram,2_to_3,0.2,0.6,0.5341600000000001,0.5564856410256411,0.5424204871794873,0.5396146666666667,0.008338376429586344,0.5250266666666666,0.5490933333333332,0.5540208717948718,0.007461130015156965,0.5428189743589743,0.5674379487179488,0.5449449625641025,0.006621703820305506,0.53514,0.5531329743589742
plain,unigram,2_to_3,0.2,0.7,0.5341600000000001,0.5564856410256411,0.5424204871794873,0.5396146666666667,0.008338376429586344,0.5250266666666666,0.5490933333333332,0.5540208717948718,0.007461130015156965,0.5428189743589743,0.5674379487179488,0.5449449625641025,0.006621703820305506,0.53514,0.5531329743589742
plain,unigram,2_to_3,0.2,0.8,0.5341600000000001,0.5564856410256411,0.5424204871794873,0.5396146666666667,0.008338376429586344,0.5250266666666666,0.5490933333333332,0.5540208717948718,0.007461130015156965,0.5428189743589743,0.5674379487179488,0.5449449625641025,0.006621703820305506,0.53514,0.5531329743589742
